Country,Edition,"OVERALL","1) AVAILABILITY","1.1) Usage","1.1.1) Internet users","1.1.2) Fixed-line broadband subscribers","1.1.3) Mobile subscribers","1.1.4) Gender gap in internet access","1.1.5) Gender gap in mobile phone access","1.2) Quality","1.2.1) Average fixed broadband upload speed","1.2.2) Average fixed broadband download speed","1.2.3) Average fixed broadband latency","1.2.4) Average mobile upload speed","1.2.5) Average mobile download speed","1.2.6) Average mobile latency","1.2.7) Bandwidth capacity","1.3) Infrastructure","1.3.1) Network coverage (min. 2G)","1.3.2) Network coverage (min. 3G)","1.3.3) Network coverage (min. 4G)","1.3.4) 5G deployment","1.3.5) Government initiatives to make Wi-Fi available","1.3.6) Private sector initiatives to make Wi-Fi available","1.3.7) Unlicensed spectrum policy","1.3.8) Internet exchange points","1.4) Electricity","1.4.1) Urban electricity access","1.4.2) Rural electricity access","2) AFFORDABILITY","2.1) Price","2.1.1) Smartphone cost (handset)","2.1.2) Mobile phone cost (prepaid tariff)","2.1.3) Mobile phone cost (postpaid tariff)","2.1.4) Fixed-line monthly broadband cost","2.2) Competitive environment","2.2.1) Average revenue per user (ARPU, annualized)","2.2.2) Wireless operators' market share","2.2.3) Broadband operators' market share","3) RELEVANCE","3.1) Local content","3.1.1) Availability of local news in local languages","3.1.2) Concentration of websites using country-level domains","3.1.3) Availability of e-Government services in the local language","3.2) Relevant content","3.2.1) e-Finance content","3.2.2) Value of e-finance","3.2.3) e-Health content","3.2.4) Value of e-health","3.2.5) e-Entertainment usage","3.2.6) e-Commerce content","3.2.7) Value of e-Commerce","3.2.8) Open data policies","4) READINESS","4.1) Literacy","4.1.1) Level of literacy","4.1.2) Educational attainment","4.1.3) Support for digital literacy","4.1.4) Level of web accessibility","4.2) Trust & Safety","4.2.1) Privacy regulations","4.2.2) Trust in online privacy","4.2.3) Trust in Government websites and apps","4.2.4) Trust in Non-government websites and apps","4.2.5) Trust in information from social media","4.2.6) e-Commerce safety","4.3) Policy","4.3.1) National female e-inclusion policies","4.3.1.1) Comprehensive female e-inclusion plan","4.3.1.2) Female digital skills training plan","4.3.1.3) Female STEM education plan","4.3.2) Government e-inclusion strategy","4.3.3) National broadband strategy","4.3.4) Funding for broadband buildout","4.3.5) Technology-neutrality policy for spectrum use","4.3.6) National digital identification system","4.3.7) Government efforts to promote 5G"
Denmark,E5,80.9,84.8,89.9,95.4,93.7,95.5,81.9,83,61.9,49,66.3,94,74.2,48.9,98,2.9,87.5,100,100,100,100,100,100,66.7,33.1,100,100,100,77.4,91.1,66,99.2,99.4,99.8,63.8,41.4,100,50,88,100,100,100,100,75.9,100,36.8,100,41.5,61.9,97.6,69.6,100,73.2,84.5,100,88.2,100,50,42.2,100,33.3,27,28.7,22.5,41.8,92.9,50,100,0,0,100,100,100,100,100,100
Dominican Republic,E1,n/a,n/a,n/a,23.4,14.2,55.8,n/a,n/a,n/a,0.8,4,74.4,14.9,8.1,70.7,1,n/a,97.6,98.8,86.4,n/a,n/a,n/a,n/a,12.1,n/a,98.5,90.6,n/a,n/a,62.1,97.5,97.6,99,n/a,16.5,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,39.5,n/a,n/a,n/a,n/a,90.7,50.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,n/a
Dominican Republic,E2,n/a,n/a,n/a,25,15.6,54,76.2,83,n/a,1.1,5.4,82.1,24.3,13.8,83.7,1.4,n/a,97.9,99,86.4,n/a,n/a,n/a,n/a,12,n/a,98.1,91.3,n/a,n/a,59.9,97.7,95.5,98.6,n/a,15.8,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,41.8,n/a,n/a,n/a,n/a,90.7,51.2,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,n/a
Dominican Republic,E3,58.6,61.9,53.7,29.8,16.7,53.6,87.1,81.5,32.4,1.4,6.3,83.9,30.1,14.2,89.4,1.6,66.7,99.1,99.2,90.4,0,100,100,33.3,11.8,94.8,98.3,91.4,47,88.7,60.9,97.8,97.2,98.9,5.4,16.1,0,0,53.4,61.1,50,33.3,100,45.6,50,43.2,66.7,70,66.7,41.8,26.7,0,71.9,72.6,90.7,49.6,100,50,62.3,100,60,53.1,59.3,57.7,43.6,81,100,100,100,100,100,66.7,100,100,100,0
Dominican Republic,E4,63.6,62.5,51.9,31.4,17.6,54.3,79.2,77,35.1,2.5,10.1,87.1,36.4,16.3,92,1.7,67.2,99.1,99.2,93.7,0,100,100,33.3,12,95.6,98.3,93,45.7,86.4,51.4,98,97.2,98.9,5.1,15.3,0,0,72.5,77.8,100,33.3,100,67.3,50,51.4,66.7,70,83.3,61.5,55.6,100,73.8,73,90.7,51.2,100,50,62.6,100,57.1,46.9,55.6,57.7,58.5,85.7,100,100,100,100,100,100,100,100,100,0
Dominican Republic,E5,61.2,61.4,52.6,33.5,18.9,53.5,79.9,77,36.1,2.5,10.9,87.4,33.5,24,92.7,1.7,61.1,99,99.5,95.4,50,100,0,33.3,11.8,95.9,98,93.8,46.6,88.2,58.4,98.3,97.2,98.9,5,15,0,0,65.8,72.2,100,66.7,50,59.4,50,45.9,33.3,56.7,83.3,61.5,44.4,100,70.8,73.4,92.3,51.2,100,50,61.7,100,62.9,59.4,44.4,42.3,61.5,77.4,75,100,100,0,100,66.7,100,100,100,0
Ecuador,E1,n/a,n/a,n/a,32.6,19.6,50,n/a,n/a,n/a,3.3,4.8,80.8,19.9,13.3,58.2,1.5,n/a,94.1,91.9,49.6,n/a,n/a,n/a,n/a,7.8,n/a,98.3,94.4,n/a,n/a,46.8,93.7,93.1,98.8,n/a,21.9,0,50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,45,n/a,n/a,n/a,n/a,93.1,57.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,n/a
Ecuador,E2,n/a,n/a,n/a,35.8,20.8,54.4,76.2,77.1,n/a,2.8,4.2,83.7,22.8,14.3,78.8,1.5,n/a,93.6,91.9,51,n/a,n/a,n/a,n/a,7.7,n/a,98.9,93.9,n/a,n/a,45.1,90.6,96.8,98.8,n/a,22,0,50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,40.7,n/a,n/a,n/a,n/a,93.1,59.8,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,n/a
Ecuador,E3,61.4,60.1,49.8,37,22.6,57.5,62.2,69.5,32.7,3.6,4.6,85.4,29.8,18.5,85.9,1.5,61.3,94.3,92.3,58.8,0,100,100,33.3,11.4,96.6,98.9,94.3,54.5,85.9,53.2,96.9,94.7,98.6,23.2,19.6,0,50,66.1,72.2,50,66.7,100,60.1,100,56.4,100,70.7,74.2,40.7,38.6,0,64.9,80.6,93.1,54.3,100,75,54.6,0,75.3,73.1,67.4,56.3,55.2,59.5,0,0,0,0,50,66.7,100,100,100,0
Ecuador,E4,70.2,61.1,52.1,37,24.4,62.5,65.7,71,36.3,6,7.3,89,40.1,19.7,90.7,1.5,59.9,90.9,93,70.9,50,100,0,66.7,7.5,96.2,99.6,92.8,69.1,82,37.8,97,94.7,98.6,56.2,18.5,50,100,80.6,88.9,100,66.7,100,72.4,100,56.4,100,70.7,74.2,39.5,38.6,100,70.1,82,93.1,59.8,100,75,54.6,0,75.3,73.1,67.4,56.3,55.2,73.8,0,0,0,0,50,66.7,100,100,100,100
Ecuador,E5,66.6,63.3,57.6,37,25.7,61.4,83.8,79.9,37.9,9,10.4,88.5,42.7,19.4,93.5,1.5,61.6,91.2,94.3,83.1,50,100,0,66.7,7.4,96.1,99.1,93.2,70.5,85.4,51.8,96.5,94.7,98.6,55.7,17,50,100,69.7,77.8,100,33.3,100,61.6,100,29.7,100,20,72.2,39.5,31.1,100,62.8,81.5,91.1,59.8,100,75,26,0,48.6,15.6,33.3,42.3,16.4,81,50,100,0,0,50,66.7,100,100,100,100
Egypt,E1,n/a,n/a,n/a,42.1,8.8,71.8,n/a,n/a,n/a,0.2,0.2,56.4,3.9,3.4,77.7,0.3,n/a,99.6,97.8,0,n/a,50,100,n/a,1.4,n/a,100,99.3,n/a,n/a,61.6,99.3,98.2,99.3,n/a,3,50,0,n/a,n/a,50,0,100,n/a,100,n/a,33.3,n/a,n/a,39.5,n/a,n/a,n/a,n/a,69.3,44.9,33.3,75,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,66.7,100,n/a,100,n/a
Egypt,E2,53.1,53.3,44.2,45.9,10.1,73.6,30.8,60.6,25.5,0.7,1.1,71.1,12.4,6.5,85.9,0.5,43.6,99.6,98.7,0,0,50,100,0,0.7,99.8,99.9,99.7,54.2,90.5,64.5,99.5,98.7,99.5,17.8,3.3,50,0,51.8,50,50,0,100,53.7,100,40.5,66.7,96.7,77.8,27.8,20,0,53,55.8,69.3,45.7,33.3,75,50.9,0,54.3,65.6,66.7,80.8,38.2,52.4,0,0,0,0,100,66.7,100,0,100,0
Egypt,E3,50.2,58.6,47,49,11.6,76.9,42.1,55.4,29.9,0.4,1.5,74.3,27.1,13.3,92.1,0.5,57.6,99.6,98.7,61,0,100,100,0,1.3,99.8,99.9,99.7,50.3,82.7,32.5,99.3,99.2,99.6,17.8,3.5,50,0,41.2,33.3,50,0,50,49.1,100,12.4,66.7,52.7,94.7,27.8,38.2,0,50.6,35.9,64.4,45.7,33.3,0,56.4,0,48.7,62,70.7,92.1,64.8,59.5,50,50,100,0,100,66.7,100,0,100,0
Egypt,E4,57,62.2,51.8,53.8,14.3,65.5,61.9,63.5,31.7,0.5,2.8,77.5,32.7,14.9,92.3,0.9,65.2,99.6,98.7,89,50,50,100,33.3,1.3,99.9,99.9,99.9,50.9,83.6,36.4,99.2,99.2,99.6,18.1,4.3,50,0,56.1,50,100,0,50,62.2,100,48.6,66.7,56.7,83.3,39,53.3,50,58.7,52.7,64.4,46.5,100,0,59.1,100,60,59.4,59.3,38.5,37.6,64.3,50,50,100,0,100,66.7,100,0,100,33.3
Egypt,E5,59.6,63.2,51.6,59.8,16.1,65.2,55.4,61.4,35.5,4.8,14.5,85.4,33.5,16,93.5,0.9,66.1,99.7,99.1,95.1,50,50,100,33.3,1.3,99.7,100,99.5,52.4,86.3,47.1,99.2,99.2,99.6,18.4,5.3,50,0,63.7,77.8,100,33.3,100,49.7,100,29.7,0,20,66.7,39,42.2,100,58.9,52.7,64.4,46.5,100,0,64.4,100,74.3,53.1,48.1,61.5,49.5,59.5,50,50,100,0,100,33.3,100,0,100,33.3
El Salvador,E1,n/a,n/a,n/a,13.6,11.9,100,n/a,n/a,n/a,1,1.3,61.6,2.2,3.5,54.8,2.1,n/a,70.6,61.3,0,n/a,100,100,n/a,0,n/a,97.5,85.4,n/a,n/a,52.2,87.9,92.5,97.9,n/a,16.5,100,0,n/a,n/a,50,33.3,50,n/a,100,n/a,100,n/a,n/a,30.7,n/a,n/a,n/a,n/a,85.2,40.9,66.7,0,n/a,50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,100,n/a,100,n/a
El Salvador,E2,55.1,55,54.2,16.6,13.3,100,68.7,72.3,24.2,0.8,1.5,71.2,8.3,5.7,79.8,2.3,47.5,70.6,61.3,15,0,100,100,33.3,0,93.9,97.8,90,60.6,82.5,49.5,87.9,94.7,97.9,38.6,15.8,100,0,57.5,55.6,50,66.7,50,59.5,100,37.8,100,76.7,94.4,49.3,17.8,0,47.4,57.1,85.3,43.3,100,0,52.8,50,42.9,43.8,66.7,53.8,59.5,32.1,25,0,100,0,0,0,0,100,100,0
El Salvador,E3,57.9,58.5,54.6,16.9,15.1,100,71.8,69.2,26.8,1.1,2.6,73.5,13.5,6.8,85.2,4.5,58.2,94.1,86,52,0,100,100,33.3,0,94.4,97.8,91,70.8,86.2,59.9,92.2,94.9,97.9,55.4,16.1,100,50,53.6,55.6,50,66.7,50,51.6,100,44.7,100,35,61.9,49.3,21.7,0,48.8,69.8,85.8,43.3,100,50,44.6,50,36,45.5,50.6,33.8,51.7,32.1,25,0,100,0,0,0,0,100,100,0
El Salvador,E4,60.7,59.1,51.5,16.9,16.4,100,54.4,69.6,29.2,1.6,3.7,80.7,16.9,7.3,89.6,4.5,60.2,94.1,86,68,0,100,100,33.3,0,95.4,99.2,91.6,69.5,83.9,47.5,95.2,94.9,97.9,55.1,15.3,100,50,64.1,63.9,75,66.7,50,64.3,100,62.2,66.7,66.7,94.4,36.6,37.8,50,50.1,69.8,85.8,43.3,100,50,48.5,50,48.6,68.8,51.9,46.2,25.4,32.1,25,0,100,0,0,0,0,100,100,0
El Salvador,E5,59.9,60,53.2,16.9,16.4,100,62.7,69.9,31,1.5,5.6,79.3,22.8,11.4,92,4.5,60.2,94.1,86,68,0,100,100,33.3,0,95.5,98.5,92.5,69.1,83.3,45.3,95,94.9,97.9,55,15,100,50,62.1,63.9,75,66.7,50,60.3,100,38.4,66.7,55.8,83.9,36.6,51,50,48.4,69.9,86.4,43.3,100,50,46.6,50,65.1,28.9,49.3,40.4,46,28.6,0,0,0,0,0,0,0,100,100,0
Estonia,E1,n/a,n/a,n/a,87.7,63.3,100,n/a,n/a,n/a,10.9,17.3,89.6,29.5,19.3,92.7,3.6,n/a,100,100,100,n/a,n/a,n/a,n/a,0,n/a,100,100,n/a,n/a,54.8,98.7,99.2,99.7,n/a,21.1,50,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,74.2,n/a,n/a,n/a,n/a,99.8,90.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,n/a
Estonia,E2,66.7,72.5,84,86.2,67.1,100,83.8,83,39.8,10.7,17.4,90.4,36.1,23.7,96.3,4.1,66.2,98,99,99,0,100,100,33.3,0,100,100,100,56.2,88.5,56.3,98.7,99.2,99.7,24,22.1,50,0,71.4,83.3,50,100,100,59.5,100,67.6,66.7,43.3,72.2,93.1,33.3,0,66.6,85.5,99.8,92.1,100,50,47.6,100,8.6,43.8,37,30.8,65.7,66.7,50,100,0,0,50,66.7,100,100,100,0
Estonia,E3,69.3,76.3,84,88.3,69.2,100,79.4,83,42.6,13.2,19.7,90.1,43.5,29.7,98,4.1,78.6,100,100,99,0,100,100,33.3,96.8,100,100,100,57,89.8,61.6,98.7,99.1,99.7,24.3,22.8,50,0,76.1,83.3,50,100,100,69,100,82.6,66.7,72,73.3,93.1,63.9,0,67.8,85.3,99.8,91.3,100,50,47.9,100,15.7,32,56.5,44,39.1,70.2,75,100,100,0,50,66.7,100,100,100,0
Estonia,E4,79.6,78.9,83.9,90.5,71.1,100,76.1,81.7,46.9,17.7,25.6,92.7,51.3,38.6,98.2,4.1,84.9,100,100,99,50,100,100,33.3,96.8,100,100,100,65.3,89.6,60.8,98.7,99.1,99.7,41.1,23.4,50,50,94.3,100,100,100,100,88.6,100,83.8,100,86.7,77.8,93.9,66.7,100,80,85.3,99.8,91.3,100,50,58.3,100,34.3,71.9,59.3,34.6,49.5,96.4,75,100,100,0,100,100,100,100,100,100
Estonia,E5,77.4,75,84.2,90.4,69.4,100,78.4,83,49.4,23.2,30.7,93.2,52.6,43.4,98.7,4.1,66.3,100,100,99,50,100,0,33.3,48.1,100,100,100,67.7,94.2,78.2,99.8,99.1,99.7,41.3,23.8,50,50,90.8,100,100,100,100,81.5,100,59.5,100,76.7,55.6,93.9,66.7,100,76.1,85.3,99.8,91.3,100,50,46.6,100,28.6,21.9,51.9,30.8,46.5,96.4,75,100,100,0,100,100,100,100,100,100
Ethiopia,E1,n/a,n/a,n/a,14.1,1,12.4,n/a,n/a,n/a,4,2.6,47.6,14.1,6.9,53.2,0.1,n/a,90.2,71,10,n/a,0,0,n/a,0,n/a,83.5,10.1,n/a,n/a,25.6,79.2,70.3,93.1,n/a,3.2,0,0,n/a,n/a,50,0,50,n/a,50,n/a,66.7,n/a,n/a,19.5,n/a,n/a,n/a,n/a,37,9.4,66.7,50,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,n/a,0,n/a
Ethiopia,E2,38,32,23.6,15.1,1.2,19.8,40.9,41,24.6,6.2,4.1,79.8,15.3,7.4,59.5,0.1,23.6,94.1,85,10,0,0,0,0,0,56.2,83.5,29,36.5,71.9,31.3,85.2,77.4,93.6,1.2,3.6,0,0,44.1,44.4,50,33.3,50,43.7,50,43.2,66.7,66.7,88.9,13.9,20,0,39.3,41,37,10.2,66.7,50,53.1,0,51.4,56.3,85.2,76.9,48.7,23.8,0,0,0,0,0,66.7,100,0,0,0
Ethiopia,E3,39.5,31.4,22.4,17.8,0.1,7.7,48.6,37.6,27.2,6.5,3.7,79.6,17.6,9.2,73.7,0,23.3,94.1,85,7,0,0,0,0,0,52.8,67.6,38,34.8,68.4,6.3,91.1,81.3,94.7,1.2,3.7,0,0,41.2,44.4,50,33.3,50,38,50,32.4,66.7,53.3,38.9,13.9,48.9,0,50.4,50.4,40.4,11,100,50,44.9,0,51.4,50,55.6,46.2,66.2,56,75,50,100,100,100,66.7,100,0,50,0
Ethiopia,E4,44.2,36.7,24.8,17.8,0.1,7.7,51.6,46.8,31,7.6,5,84.4,27.3,12.5,80.3,0,27.4,94.1,85,7,0,0,0,33.3,0,63.4,95.5,31.4,34.5,67.8,3.2,91.9,81.3,94.7,1.2,3.5,0,0,55,61.1,100,33.3,50,48.8,50,16.2,100,23.3,61.1,30.1,60,50,50.8,50.4,40.4,11,100,50,45.9,0,77.1,62.5,70.4,42.3,23.3,56,75,50,100,100,100,66.7,100,0,50,0
Ethiopia,E5,42.5,36.6,21,17.8,0.1,7.7,40.3,39.2,33.6,6.1,4.1,82.5,41.3,15.5,85.4,0,27.4,94.1,85,7,0,0,0,33.3,0,64.4,95.5,33.3,36.5,71.8,16.3,95.1,81.3,94.7,1.1,3.3,0,0,50.9,61.1,100,33.3,50,40.6,50,16.2,33.3,20,83.3,30.1,42.2,50,45.9,37.9,40.4,11,100,0,43.9,0,62.9,53.1,51.9,46.2,49.5,56,75,50,100,100,100,66.7,100,0,50,0
Finland,E1,n/a,n/a,n/a,82.1,67.3,100,n/a,n/a,n/a,8.7,17.6,86.8,41.2,23.5,93.9,2.4,n/a,100,99.9,99.9,n/a,n/a,n/a,n/a,58.1,n/a,100,100,n/a,n/a,74.4,99.3,99.4,99.8,n/a,35.3,50,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,87,n/a,n/a,n/a,n/a,100,86.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,n/a
Finland,E2,n/a,n/a,n/a,84.6,66.4,100,79.7,83,n/a,8.2,18.5,87.9,46.5,25.4,95.9,2.7,n/a,100,99.9,99.9,n/a,n/a,n/a,n/a,57.9,n/a,100,100,n/a,n/a,74,99.3,99,99.8,n/a,36,50,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,96.4,n/a,n/a,n/a,n/a,100,86.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,n/a
Finland,E3,74.2,75,83.3,87.8,66.2,99.9,79.7,83,42.8,9.5,22,87.8,49.9,30.9,96.8,2.8,73.8,100,99.9,99.9,0,100,100,33.3,57.6,100,100,100,77.6,92.6,72.3,99.3,99,99.8,62.7,38.1,50,100,76.1,83.3,50,100,100,69,100,42,100,64.5,83.6,96.4,65.2,0,67.9,75.5,100,77.2,100,25,54.3,100,78,54.5,32.4,3.7,57.4,73.8,50,100,0,0,100,66.7,100,100,100,0
Finland,E4,80.1,79.4,84.4,88.9,67.1,99.5,83.8,83,46.7,12.5,29.5,90.1,55.6,38.7,97.8,2.8,86.3,100,99.9,99.9,100,100,100,33.3,57.6,100,100,100,78.3,93.6,76.5,99.3,99,99.8,63,38.9,50,100,90.8,100,100,100,100,81.7,100,42,100,64.5,83.6,97.9,65.2,100,71.9,77.9,100,86.6,100,25,54.3,100,78,54.5,32.4,3.7,57.4,83.3,50,100,0,0,100,100,100,100,100,33.3
Finland,E5,78.1,78,84.7,89,69.3,99.2,82.9,83,50.6,19.1,43.2,91.3,55.7,43.8,98.2,2.8,76.7,100,99.9,99.9,100,100,0,33.3,80.5,100,100,100,79,94.7,81.1,99.1,99,99.8,63.2,39.7,50,100,82.1,88.9,100,66.7,100,75.3,100,44.7,100,25.2,67.2,97.9,67.4,100,73.3,84.2,100,86.6,100,50,52.4,100,52.9,45.5,50.6,15,50.7,83.3,50,100,0,0,100,100,100,100,100,33.3
France,E1,n/a,n/a,n/a,75.2,88.9,73.6,n/a,n/a,n/a,9.3,21.7,80.4,30.1,22,75.2,1.6,n/a,98,99,80,n/a,100,100,n/a,12.9,n/a,100,100,n/a,n/a,72.3,99.4,99.5,99.8,n/a,52.4,100,100,n/a,n/a,50,100,100,n/a,100,n/a,100,n/a,n/a,78.4,n/a,n/a,n/a,n/a,100,79.5,100,50,n/a,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,66.7,100,n/a,100,n/a
France,E2,74.6,70.9,78.2,78.6,91.3,74.6,77.3,69.2,38.8,10.9,27.5,84,32.7,24.9,89.8,1.8,66.8,98,99,90,0,100,100,33.3,13.7,100,100,100,88,92.6,71.5,99.4,99.5,99.8,83.5,50.5,100,100,72.2,83.3,50,100,100,61,100,64.9,100,36.7,55.6,93.1,37.8,0,67.3,69.7,100,78.7,100,0,51.2,100,11.4,59.4,51.9,42.3,42.1,81,100,100,100,100,100,66.7,100,100,100,0
France,E3,76.1,72.4,79.6,79.7,93.6,76.5,77.4,70.6,42.1,15.6,36,84.2,35.7,30.6,91.2,1.8,67.8,98,99,98,0,100,100,33.3,13.7,100,100,100,88.9,95.2,82.3,99.4,99.5,99.7,82.6,47.7,100,100,72.5,83.3,50,100,100,61.7,100,45.9,100,46.7,61.1,93.1,46.7,0,70.4,65.5,100,78.7,33.3,50,72,100,68.6,65.6,70.4,57.7,69.5,73.8,50,100,0,0,100,66.7,100,100,100,0
France,E4,79.1,77.5,82.7,82.3,95.5,78.5,79.7,77.6,48.7,27.1,52.6,86.8,40.7,41.1,90.7,1.8,78.5,98,99,99,50,100,100,66.7,15.7,100,100,100,89.4,96.9,88.9,99.4,99.5,99.7,81.8,45.5,100,100,85.9,100,100,100,100,71.8,100,56.8,100,40,44.4,93.6,40,100,63.5,65.5,100,78.7,33.3,50,32.2,100,14.3,28.1,14.8,7.7,28.4,92.9,50,100,0,0,100,100,100,100,100,100
France,E5,80.7,79.5,85.2,84,97.4,80.7,79.7,84.4,54.3,44.6,68.1,88.2,39.9,44.5,92.9,1.8,78.4,98,99,99,50,100,100,66.7,14.6,100,100,100,88.9,95.9,84.5,99.7,99.5,99.7,81.9,45.8,100,100,84.4,100,100,100,100,68.8,100,28.8,100,25.2,40,93.6,63,100,70.1,73.9,100,78.7,66.7,50,43.7,100,69.6,20.9,21.5,26.2,24.1,92.9,50,100,0,0,100,100,100,100,100,100
Gabon,E1,n/a,n/a,n/a,29.1,1.2,100,n/a,n/a,n/a,1.6,1.6,34.8,9.9,5.9,50.5,0.3,n/a,94.1,97,78,n/a,n/a,n/a,n/a,33,n/a,97,37.3,n/a,n/a,41.6,94.3,94.5,99,n/a,6.1,100,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,19.9,n/a,n/a,n/a,n/a,78.1,52.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,n/a
Gabon,E2,n/a,n/a,n/a,34.2,1.6,100,74.4,83,n/a,2,3.3,56.3,11.7,4.8,63.3,0.4,n/a,96.1,92,83,n/a,n/a,n/a,n/a,32.1,n/a,97,37.3,n/a,n/a,41.6,94.3,93.8,98.9,n/a,6.1,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,31,n/a,n/a,n/a,n/a,78.1,53.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,n/a
Gabon,E3,n/a,n/a,n/a,40.8,1.5,99,69.5,73,n/a,5.4,9.6,74.3,19.2,7.5,79.9,0.4,n/a,96.1,95,95,n/a,n/a,n/a,n/a,31.4,n/a,97,37.3,n/a,n/a,41.6,98.1,98.1,98.7,n/a,6.3,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,31,n/a,n/a,n/a,n/a,78.1,54.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,n/a
Gabon,E4,48.5,53.2,58,40.8,2.9,100,68.9,77.5,31.5,4.8,10.5,81.8,28.1,11.5,83.7,0.4,57,98,97,97,50,50,0,33.3,30.7,66.4,98.3,34.5,43.1,84.1,41.6,98.1,98.1,98.7,2,6.1,0,0,40.4,41.7,75,0,50,39,50,37.8,33.3,30,72.2,37.8,51.1,0,57.4,40.1,81.1,54.3,0,25,68,100,74.3,50,51.9,73.1,58.5,64.3,0,0,0,0,50,100,100,100,100,0
Gabon,E5,45.4,54.3,60.3,40.8,2.2,100,78.5,80.2,31.7,2.8,9.5,82.9,29.8,16.5,79.9,0.4,56.8,98,97,97,50,50,0,33.3,29.3,68.3,98.3,38.3,43,84,41.6,97.4,98.1,98.7,2,6.1,0,0,35.5,41.7,75,0,50,29.3,50,43.2,33.3,30,0,37.8,40,0,48.9,46.4,81.1,54.3,0,50,50.4,100,54.3,43.8,51.9,42.3,10.4,50,50,100,0,0,0,66.7,0,100,100,33.3
Germany,E1,n/a,n/a,n/a,90.3,80.1,87.9,n/a,n/a,n/a,4.7,16.9,83.6,27.6,20,76.1,1.4,n/a,98,95.7,95.7,n/a,100,100,n/a,14,n/a,100,100,n/a,n/a,71.8,99.2,99.3,99.7,n/a,37.1,50,100,n/a,n/a,50,66.7,100,n/a,100,n/a,100,n/a,n/a,80.3,n/a,n/a,n/a,n/a,100,100,66.7,50,n/a,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,66.7,0,n/a,100,n/a
Germany,E2,71.7,72,84.5,87.4,82.6,95.9,81.7,74.8,36.1,4,21.1,87,31.4,21.1,86.6,1.7,67.2,98,95.7,96.2,0,100,100,33.3,14.6,100,100,100,77.2,92.4,71.3,99.2,99.5,99.7,62,36,50,100,68.1,72.2,50,66.7,100,64,100,62.2,100,66.7,55.6,96.9,31.1,0,69.5,85.4,100,100,66.7,75,45.6,100,54.3,28.1,25.9,30.8,34.4,77.4,75,100,0,100,100,66.7,100,100,100,0
