country_code,data_source,PC1_rescaled,PC2_rescaled,Cultural Region,model_name,country_code_clean,Country,Numeric,Islamic,country_code_original,is_llm,extracted_model
LLM_llm_mistralai_mistral-nemo_zh-cn,LLM,0.7574557712,4.860051289,AI Model,mistralai/mistral-nemo,LLM_llm_mistralai_mistral-nemo_zh-cn,,,,LLM_llm_mistralai_mistral-nemo_zh-cn,True,llm_mistralai_mistral-nemo_zh-cn
LLM_llm_openai_gpt-5.1_ar,LLM,2.6422099589,2.6595514729,AI Model,openai/gpt-5.1,LLM_llm_openai_gpt-5.1_ar,,,,LLM_llm_openai_gpt-5.1_ar,True,llm_openai_gpt-5.1_ar
LLM_llm_openai_gpt-5.1_en,LLM,2.6422099589,2.6595514729,AI Model,openai/gpt-5.1,LLM_llm_openai_gpt-5.1_en,,,,LLM_llm_openai_gpt-5.1_en,True,llm_openai_gpt-5.1_en
LLM_llm_openai_gpt-5.1_es,LLM,4.0141718485,2.7021177806,AI Model,openai/gpt-5.1,LLM_llm_openai_gpt-5.1_es,,,,LLM_llm_openai_gpt-5.1_es,True,llm_openai_gpt-5.1_es
LLM_llm_openai_gpt-5.1_fr,LLM,4.7123434795,3.6922719347,AI Model,openai/gpt-5.1,LLM_llm_openai_gpt-5.1_fr,,,,LLM_llm_openai_gpt-5.1_fr,True,llm_openai_gpt-5.1_fr
LLM_llm_openai_gpt-5.1_ru,LLM,0.988598095,2.988633131,AI Model,openai/gpt-5.1,LLM_llm_openai_gpt-5.1_ru,,,,LLM_llm_openai_gpt-5.1_ru,True,llm_openai_gpt-5.1_ru
LLM_llm_openai_gpt-5.1_zh-cn,LLM,3.9901490569,3.4491218441,AI Model,openai/gpt-5.1,LLM_llm_openai_gpt-5.1_zh-cn,,,,LLM_llm_openai_gpt-5.1_zh-cn,True,llm_openai_gpt-5.1_zh-cn
LLM_llm_qwen_qwen3-max_ar,LLM,3.1547859842,-1.6066732152,AI Model,qwen/qwen3-max,LLM_llm_qwen_qwen3-max_ar,,,,LLM_llm_qwen_qwen3-max_ar,True,llm_qwen_qwen3-max_ar
LLM_llm_qwen_qwen3-max_en,LLM,0.7599117983,-0.3662491576,AI Model,qwen/qwen3-max,LLM_llm_qwen_qwen3-max_en,,,,LLM_llm_qwen_qwen3-max_en,True,llm_qwen_qwen3-max_en
LLM_llm_qwen_qwen3-max_es,LLM,4.1932909557,0.2266743528,AI Model,qwen/qwen3-max,LLM_llm_qwen_qwen3-max_es,,,,LLM_llm_qwen_qwen3-max_es,True,llm_qwen_qwen3-max_es
LLM_llm_qwen_qwen3-max_fr,LLM,0.3152343275,0.8789775311,AI Model,qwen/qwen3-max,LLM_llm_qwen_qwen3-max_fr,,,,LLM_llm_qwen_qwen3-max_fr,True,llm_qwen_qwen3-max_fr
LLM_llm_qwen_qwen3-max_ru,LLM,5.6256490192,-1.1138130205,AI Model,qwen/qwen3-max,LLM_llm_qwen_qwen3-max_ru,,,,LLM_llm_qwen_qwen3-max_ru,True,llm_qwen_qwen3-max_ru
LLM_llm_qwen_qwen3-max_zh-cn,LLM,1.8178472623,-1.7065641911,AI Model,qwen/qwen3-max,LLM_llm_qwen_qwen3-max_zh-cn,,,,LLM_llm_qwen_qwen3-max_zh-cn,True,llm_qwen_qwen3-max_zh-cn
LLM_llm_x-ai_grok-4.1-fast_ar,LLM,2.3342953623,4.9321562513,AI Model,x-ai/grok-4.1-fast,LLM_llm_x-ai_grok-4.1-fast_ar,,,,LLM_llm_x-ai_grok-4.1-fast_ar,True,llm_x-ai_grok-4.1-fast_ar
LLM_llm_x-ai_grok-4.1-fast_en,LLM,5.0249006544,2.6395162184,AI Model,x-ai/grok-4.1-fast,LLM_llm_x-ai_grok-4.1-fast_en,,,,LLM_llm_x-ai_grok-4.1-fast_en,True,llm_x-ai_grok-4.1-fast_en
LLM_llm_x-ai_grok-4.1-fast_es,LLM,1.3894993596,3.673025589,AI Model,x-ai/grok-4.1-fast,LLM_llm_x-ai_grok-4.1-fast_es,,,,LLM_llm_x-ai_grok-4.1-fast_es,True,llm_x-ai_grok-4.1-fast_es
LLM_llm_x-ai_grok-4.1-fast_fr,LLM,5.4945454871,1.4782061079,AI Model,x-ai/grok-4.1-fast,LLM_llm_x-ai_grok-4.1-fast_fr,,,,LLM_llm_x-ai_grok-4.1-fast_fr,True,llm_x-ai_grok-4.1-fast_fr
LLM_llm_x-ai_grok-4.1-fast_ru,LLM,1.5816827836,4.8499556436,AI Model,x-ai/grok-4.1-fast,LLM_llm_x-ai_grok-4.1-fast_ru,,,,LLM_llm_x-ai_grok-4.1-fast_ru,True,llm_x-ai_grok-4.1-fast_ru
LLM_llm_x-ai_grok-4.1-fast_zh-cn,LLM,1.1236267514,4.2638199213,AI Model,x-ai/grok-4.1-fast,LLM_llm_x-ai_grok-4.1-fast_zh-cn,,,,LLM_llm_x-ai_grok-4.1-fast_zh-cn,True,llm_x-ai_grok-4.1-fast_zh-cn
