country,model_name,language,A008,A165,E018,E025,F063,F118,F120,G006,Y002,Y003,PC1,PC2
Lebanon,deepseek-chat-v3.1,fr,3.0,2.0,1.0,2.0,10.0,3.0,3.0,3.0,,,-2.525657992273337,1.7826583574850774
Jordan,qwen3-1.7b,fr,,,,,,,,,,,0.38,-0.01
Yemen,gemini-3-pro-preview,fr,4.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-3.7504272811536454,-0.05254952130233083
Tunisia,qwq-32b,fr,3.0,2.0,3.0,2.0,8.0,3.0,3.0,3.0,,,-2.3300175723115286,3.6885690573336585
Iraq,glm-4.6,fr,3.0,2.0,1.0,3.0,10.0,1.0,1.0,2.0,,,-3.854409606614266,-0.16329987509510274
Qatar,gemini-2.5-flash,fr,,,,,,,1.0,1.0,,,0.024373399685669594,-1.177375015998172
Qatar,gpt-5.1,fr,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-1.1800707251102058,-2.154928007015901
Libya,deepseek-chat,fr,,,,,,,,,,,0.38,-0.01
Kuwait,claude-3.7-sonnet,fr,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-1.1800707251102058,-2.154928007015901
Egypt,claude-sonnet-4.5,fr,,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-1.0556053613796599,-2.274602166598785
Libya,llama-3.3-70b-instruct,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,2.0,,,-2.787015077675478,0.19600009459926002
Jordan,qwq-32b,fr,3.0,1.0,1.0,2.0,10.0,1.0,2.0,2.0,,,-1.4150531880914707,0.23856640230022633
Yemen,claude-sonnet-4.5,fr,,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-2.1229998903184493,-2.633902136293147
Jordan,gemini-2.5-pro,fr,,,,,,,,,,,0.38,-0.01
Qatar,doubao-1-5-pro-32k-250115,fr,,,,,,,,,,,0.38,-0.01
Libya,gemini-3-pro-preview,fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-2.570648815530295,-1.186913268257001
Jordan,claude-sonnet-4.5,fr,,2.0,1.0,2.0,10.0,1.0,2.0,2.0,,,-1.4827712483215807,-1.0580378119382936
Yemen,mistral-medium-3.1,fr,3.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-3.427243719672346,-1.3798642297555939
Kuwait,mistral-nemo,fr,1.0,2.0,1.0,3.0,9.0,3.0,3.0,1.0,,,-0.0465211897226282,-2.9061975207727433
Tunisia,qwen3-max,fr,3.0,2.0,1.0,2.0,9.0,1.0,2.0,2.0,,,-2.665172076113261,0.40195138107035494
Palestine,glm-4.6,fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,3.0,,,-3.4249805894141363,1.2462154410639807
Tunisia,gemini-3-pro-preview,fr,3.0,2.0,1.0,2.0,10.0,1.0,5.0,1.0,,,-1.7274503163433432,-0.5215172354739206
Qatar,llama-3.2-3b-instruct,fr,3.0,2.0,1.0,2.0,8.0,6.0,6.0,2.0,,,-0.5058222064957848,1.782660950398421
Palestine,gemini-2.5-pro,fr,,,,,,,,,,,0.38,-0.01
Qatar,qwen3-max,fr,2.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-2.2474652540489948,-2.5142279767102638
Kuwait,mistral-medium-3.1,fr,1.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-1.0676867884256431,-3.6485917236649343
Yemen,gemma-3-4b-it,fr,1.0,2.0,3.0,1.0,9.0,2.0,2.0,2.0,,,0.7417958498865287,-0.07794457441922359
Qatar,mistral-nemo,fr,1.0,2.0,1.0,1.0,9.0,3.0,3.0,1.0,,,1.6666686185614736,-2.5202955977755575
Qatar,gemini-3-pro-preview,fr,2.0,2.0,1.0,3.0,10.0,1.0,2.0,1.0,,,-2.0366656292522567,-2.3478789685144936
Yemen,llama-3.3-70b-instruct,fr,3.0,2.0,1.0,3.0,10.0,1.0,1.0,2.0,,,-3.854409606614266,-0.16329987509510274
Lebanon,mistral-medium-3.1,fr,3.0,2.0,1.0,2.0,8.0,2.0,3.0,2.0,,,-2.0936677759806446,0.8761241257519979
Jordan,llama-3.2-3b-instruct,fr,3.0,2.0,2.0,2.0,8.0,6.0,6.0,2.0,,,-0.5298449980770975,2.5296650138516172
Tunisia,llama-3.2-3b-instruct,fr,2.0,2.0,2.0,2.0,8.0,6.0,6.0,2.0,,,0.6499334675462537,1.395301266896946
Iraq,qwen3-max,fr,3.0,2.0,1.0,2.0,9.0,1.0,2.0,3.0,,,-3.0923379630551815,1.6185157357308457
Palestine,grok-4.1-fast,fr,4.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-4.607022185295698,-0.2455004828009235
Morocco,mistral-medium-3.1,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-2.359849190733557,-1.020564260061231
Lebanon,qwen3-max,fr,4.0,2.0,1.0,2.0,8.0,2.0,2.0,3.0,,,-3.9114117533426542,3.060703219171389
Tunisia,glm-4.6,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,2.0,,,-2.787015077675478,0.19600009459926002
Jordan,glm-4.6,fr,2.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-2.2474652540489948,-2.5142279767102638
Tunisia,gemma-3-4b-it,fr,1.0,1.0,3.0,1.0,7.0,2.0,6.0,2.0,,,3.200642241781921,1.0419203390070129
Morocco,claude-sonnet-4.5,fr,,2.0,1.0,2.0,9.0,2.0,2.0,1.0,,,-0.6949006860437822,-1.9667784301129116
Algeria,grok-4.1-fast,fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,2.0,,,-2.9978147024722155,0.029651086403490096
Libya,gemini-2.5-pro,fr,3.0,,,2.0,,,,3.0,,,-1.4247412920761766,3.007605867496754
Yemen,claude-3.7-sonnet,fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-2.570648815530295,-1.186913268257001
Qatar,mistral-medium-3.1,fr,1.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-1.0676867884256431,-3.6485917236649343
Libya,claude-3.7-sonnet,fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-2.570648815530295,-1.186913268257001
Algeria,claude-3-7-sonnet-20250219,ar,2.0,2.0,1.0,2.0,9.0,1.0,3.0,1.0,1.0,-2.0,-1.6474515062283088,-1.7093075607580606
Algeria,claude-3-7-sonnet-20250219,en,2.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,1.0,-1.0,-1.6018778734069636,-1.8024464530206674
Egypt,claude-3-7-sonnet-20250219,ar,2.0,2.0,1.0,2.0,9.0,1.0,3.0,1.0,1.0,-2.0,-1.6474515062283088,-1.7093075607580606
Egypt,claude-3-7-sonnet-20250219,en,2.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,1.0,-1.0,-1.6018778734069636,-1.8024464530206674
Iraq,claude-3-7-sonnet-20250219,ar,3.0,2.0,1.0,2.0,9.0,1.0,2.0,1.0,1.0,-2.0,-3.038029596648398,-0.7412928219991601
Iraq,claude-3-7-sonnet-20250219,en,2.0,2.0,1.0,2.0,9.0,1.0,2.0,2.0,1.0,-2.0,-2.2854170179669677,-0.6590922142933396
Jordan,claude-3-7-sonnet-20250219,ar,2.0,2.0,1.0,2.0,9.0,1.0,3.0,1.0,1.0,-2.0,-1.6474515062283088,-1.7093075607580606
Jordan,claude-3-7-sonnet-20250219,en,2.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,1.0,-1.0,-1.6018778734069636,-1.8024464530206674
Kuwait,claude-3-7-sonnet-20250219,ar,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Kuwait,claude-3-7-sonnet-20250219,en,2.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,1.0,-2.0,-1.6193894572513852,-1.7737841189390524
Lebanon,claude-3-7-sonnet-20250219,ar,3.0,2.0,1.0,2.0,9.0,2.0,4.0,2.0,1.0,-2.0,-2.8047345602231806,0.9098419990676487
Lebanon,claude-3-7-sonnet-20250219,en,2.0,2.0,1.0,2.0,8.0,2.0,3.0,2.0,1.0,-1.0,-1.6964011339899296,-0.21358180369331164
Libya,claude-3-7-sonnet-20250219,ar,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Libya,claude-3-7-sonnet-20250219,en,2.0,2.0,1.0,3.0,9.0,1.0,2.0,1.0,1.0,-1.0,-2.6973344513226767,-2.0972698645340384
Morocco,claude-3-7-sonnet-20250219,ar,2.0,2.0,1.0,2.0,9.0,2.0,3.0,1.0,1.0,-2.0,-1.408589832454647,-1.6074351107432823
Morocco,claude-3-7-sonnet-20250219,en,2.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,1.0,-1.0,-1.6018778734069636,-1.8024464530206674
Palestine,claude-3-7-sonnet-20250219,ar,3.0,2.0,1.0,1.0,9.0,2.0,3.0,1.0,2.0,-2.0,-0.7520947798892045,-0.33258268739915786
Palestine,claude-3-7-sonnet-20250219,en,3.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,1.0,-2.0,-2.7991679228747364,-0.6394203719843823
Qatar,claude-3-7-sonnet-20250219,ar,1.0,2.0,1.0,3.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.6569105711059633,-3.4089225638781886
Qatar,claude-3-7-sonnet-20250219,en,2.0,2.0,1.0,3.0,10.0,1.0,2.0,1.0,1.0,-1.0,-2.819177452884893,-2.303221151005133
Tunisia,claude-3-7-sonnet-20250219,ar,2.0,2.0,1.0,2.0,9.0,2.0,3.0,1.0,2.0,-2.0,-0.42891121840790447,-1.659897395852421
Tunisia,claude-3-7-sonnet-20250219,en,2.0,2.0,1.0,2.0,9.0,2.0,3.0,2.0,1.0,-1.0,-1.8182441355521464,-0.4195330901644066
Yemen,claude-3-7-sonnet-20250219,ar,3.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-3.159872598210615,-0.9472441084702551
Yemen,claude-3-7-sonnet-20250219,en,3.0,2.0,1.0,3.0,10.0,1.0,2.0,1.0,1.0,-2.0,-4.016467502352665,-1.1401950699688477
Algeria,claude-sonnet-4.5,ar,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Algeria,claude-sonnet-4.5,en,2.0,2.0,1.0,2.0,10.0,2.0,2.0,1.0,1.0,-2.0,-1.741232458813602,-1.9797354054101477
Egypt,claude-sonnet-4.5,ar,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Egypt,claude-sonnet-4.5,en,2.0,2.0,1.0,2.0,10.0,2.0,2.0,1.0,1.0,-2.0,-1.741232458813602,-1.9797354054101477
Iraq,claude-sonnet-4.5,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,2.0,1.0,-2.0,-2.6180596443259216,-1.0313925089602043
Iraq,claude-sonnet-4.5,en,2.0,2.0,1.0,2.0,10.0,2.0,2.0,2.0,1.0,-2.0,-2.1683983457555227,-0.7631710507496562
Jordan,claude-sonnet-4.5,ar,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Jordan,claude-sonnet-4.5,en,2.0,2.0,1.0,2.0,10.0,2.0,2.0,1.0,1.0,-2.0,-1.741232458813602,-1.9797354054101477
Kuwait,claude-sonnet-4.5,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Kuwait,claude-sonnet-4.5,en,2.0,2.0,1.0,2.0,10.0,2.0,2.0,1.0,1.0,-2.0,-1.741232458813602,-1.9797354054101477
Lebanon,claude-sonnet-4.5,ar,2.0,2.0,2.0,2.0,9.0,2.0,2.0,2.0,1.0,0.0,-2.0355549680857754,0.1324596310114043
Lebanon,claude-sonnet-4.5,en,2.0,2.0,1.0,2.0,9.0,3.0,4.0,2.0,1.0,-1.0,-1.3685828369817465,-0.15131163195385827
Libya,claude-sonnet-4.5,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Libya,claude-sonnet-4.5,en,2.0,2.0,1.0,3.0,10.0,2.0,2.0,2.0,1.0,-2.0,-3.024993249897573,-0.9561220122482489
Morocco,claude-sonnet-4.5,ar,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Morocco,claude-sonnet-4.5,en,2.0,2.0,1.0,2.0,10.0,2.0,2.0,1.0,1.0,-2.0,-1.741232458813602,-1.9797354054101477
Palestine,claude-sonnet-4.5,ar,3.0,2.0,2.0,2.0,10.0,1.0,2.0,1.0,2.0,0.0,-2.169193608056341,-0.31002699828942837
Palestine,claude-sonnet-4.5,en,3.0,2.0,1.0,2.0,10.0,2.0,2.0,1.0,3.0,-2.0,-0.9616536963434673,-0.950296228673754
Qatar,claude-sonnet-4.5,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Qatar,claude-sonnet-4.5,en,1.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-0.8003156669639121,-3.215971602379596
Tunisia,claude-sonnet-4.5,ar,2.0,2.0,2.0,2.0,9.0,1.0,2.0,1.0,1.0,0.0,-1.847250754917516,-1.1859771736638647
Tunisia,claude-sonnet-4.5,en,2.0,2.0,1.0,2.0,9.0,2.0,3.0,2.0,1.0,-2.0,-1.835755719396568,-0.39087075608279137
Yemen,claude-sonnet-4.5,ar,3.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,-2.0,-4.2272671271494024,-1.3065440781646178
Yemen,claude-sonnet-4.5,en,3.0,2.0,1.0,3.0,10.0,1.0,2.0,1.0,1.0,-2.0,-4.016467502352665,-1.1401950699688477
Algeria,deepseek-chat,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Algeria,deepseek-chat,en,2.0,2.0,1.0,2.0,9.0,1.0,2.0,1.0,1.0,-2.0,-1.858251131025047,-1.8756565689538307
Egypt,deepseek-chat,ar,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Egypt,deepseek-chat,en,2.0,2.0,1.0,2.0,9.0,1.0,3.0,1.0,1.0,-2.0,-1.6474515062283088,-1.7093075607580606
Iraq,deepseek-chat,ar,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-3.3706722230073525,-1.1135931166660251
Iraq,deepseek-chat,en,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Jordan,deepseek-chat,ar,2.0,2.0,1.0,2.0,10.0,2.0,1.0,1.0,1.0,-2.0,-1.9520320836103395,-2.1460844136059167
Jordan,deepseek-chat,en,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Kuwait,deepseek-chat,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Kuwait,deepseek-chat,en,1.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-0.8003156669639121,-3.215971602379596
Lebanon,deepseek-chat,ar,3.0,2.0,1.0,2.0,10.0,3.0,3.0,1.0,1.0,-2.0,-2.4713496258665533,-0.5771502002449284
Lebanon,deepseek-chat,en,2.0,2.0,1.0,2.0,8.0,3.0,3.0,1.0,1.0,-2.0,-1.047885157118769,-1.2996113742574096
Libya,deepseek-chat,ar,3.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,-2.0,-4.2272671271494024,-1.3065440781646178
Libya,deepseek-chat,en,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Morocco,deepseek-chat,ar,2.0,2.0,1.0,2.0,10.0,2.0,3.0,1.0,1.0,-2.0,-1.5304328340168638,-1.813386397214377
Morocco,deepseek-chat,en,2.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,1.0,-2.0,-1.6193894572513852,-1.7737841189390524
Palestine,deepseek-chat,ar,3.0,2.0,3.0,1.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.562122902027926,0.573365971738959
Palestine,deepseek-chat,en,3.0,2.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,-2.0,-2.3032776940685635,-0.7542931469716619
Qatar,deepseek-chat,ar,1.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,-2.0,-1.867710195902701,-3.5752715720739583
Qatar,deepseek-chat,en,1.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-1.0111152917606496,-3.3823206105753654
Tunisia,deepseek-chat,ar,2.0,2.0,1.0,2.0,10.0,3.0,3.0,1.0,1.0,-2.0,-1.291571160243202,-1.7115139471995988
Tunisia,deepseek-chat,en,2.0,2.0,1.0,2.0,9.0,2.0,3.0,1.0,1.0,-2.0,-1.408589832454647,-1.6074351107432823
Yemen,deepseek-chat,ar,3.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,-2.0,-4.2272671271494024,-1.3065440781646178
Yemen,deepseek-chat,en,2.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,-2.0,-3.047488661526052,-2.4409078251192877
Algeria,deepseek-chat-v3.1,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Algeria,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Egypt,deepseek-chat-v3.1,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Egypt,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Iraq,deepseek-chat-v3.1,ar,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-3.3706722230073525,-1.1135931166660251
Iraq,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Jordan,deepseek-chat-v3.1,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Jordan,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Kuwait,deepseek-chat-v3.1,ar,1.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-1.0111152917606496,-3.3823206105753654
Kuwait,deepseek-chat-v3.1,en,1.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-0.8003156669639121,-3.215971602379596
Lebanon,deepseek-chat-v3.1,ar,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-3.3706722230073525,-1.1135931166660251
Lebanon,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,10.0,2.0,3.0,1.0,1.0,-2.0,-1.5304328340168638,-1.813386397214377
Libya,deepseek-chat-v3.1,ar,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-3.3706722230073525,-1.1135931166660251
Libya,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Morocco,deepseek-chat-v3.1,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Morocco,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Palestine,deepseek-chat-v3.1,ar,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-1.0,-3.3531606391629314,-1.1422554507476403
Palestine,deepseek-chat-v3.1,en,3.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,2.0,-2.0,-2.1801939841638722,-0.999706393579394
Qatar,deepseek-chat-v3.1,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Qatar,deepseek-chat-v3.1,en,1.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-1.0111152917606496,-3.3823206105753654
Tunisia,deepseek-chat-v3.1,ar,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-3.3706722230073525,-1.1135931166660251
Tunisia,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,9.0,2.0,3.0,1.0,1.0,-2.0,-1.408589832454647,-1.6074351107432823
Yemen,deepseek-chat-v3.1,ar,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-3.3706722230073525,-1.1135931166660251
Yemen,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Algeria,doubao-1-5-pro-32k-250115,ar,2.0,2.0,1.0,3.0,9.0,1.0,2.0,1.0,1.0,-2.0,-2.714846035167098,-2.0686075304524234
Algeria,doubao-1-5-pro-32k-250115,en,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-1.0,-2.1733821735395797,-2.2766191977023102
Egypt,doubao-1-5-pro-32k-250115,ar,2.0,2.0,1.0,3.0,10.0,1.0,2.0,1.0,1.0,0.0,-2.8016658690404714,-2.3318834850867485
Egypt,doubao-1-5-pro-32k-250115,en,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Iraq,doubao-1-5-pro-32k-250115,ar,2.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,0.0,-3.012465493837209,-2.498232493282518
Iraq,doubao-1-5-pro-32k-250115,en,2.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,-1.0,-3.0299770776816306,-2.4695701592009027
Jordan,doubao-1-5-pro-32k-250115,ar,2.0,2.0,1.0,3.0,10.0,1.0,2.0,1.0,1.0,0.0,-2.8016658690404714,-2.3318834850867485
Jordan,doubao-1-5-pro-32k-250115,en,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Kuwait,doubao-1-5-pro-32k-250115,ar,1.0,1.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,0.0,-0.4607251386298511,-3.5900299325362224
Kuwait,doubao-1-5-pro-32k-250115,en,1.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,-2.0,-1.867710195902701,-3.5752715720739583
Lebanon,doubao-1-5-pro-32k-250115,ar,2.0,2.0,1.0,3.0,8.0,2.0,2.0,1.0,1.0,0.0,-2.3191181921423762,-1.8181084621297805
Lebanon,doubao-1-5-pro-32k-250115,en,2.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,1.0,-1.0,-1.6018778734069636,-1.8024464530206674
Libya,doubao-1-5-pro-32k-250115,ar,2.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,0.0,-3.012465493837209,-2.498232493282518
Libya,doubao-1-5-pro-32k-250115,en,2.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,-1.0,-3.0299770776816306,-2.4695701592009027
Morocco,doubao-1-5-pro-32k-250115,ar,2.0,2.0,1.0,3.0,10.0,1.0,2.0,1.0,1.0,0.0,-2.8016658690404714,-2.3318834850867485
Morocco,doubao-1-5-pro-32k-250115,en,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Palestine,doubao-1-5-pro-32k-250115,ar,3.0,1.0,1.0,3.0,10.0,1.0,2.0,1.0,2.0,0.0,-1.629803831033073,-1.2074157155402503
Palestine,doubao-1-5-pro-32k-250115,en,3.0,2.0,3.0,1.0,10.0,1.0,2.0,1.0,3.0,-1.0,-0.37445446529328097,0.606128075634837
Qatar,doubao-1-5-pro-32k-250115,ar,1.0,1.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,0.0,-0.4607251386298511,-3.5900299325362224
Qatar,doubao-1-5-pro-32k-250115,en,1.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,-2.0,-1.867710195902701,-3.5752715720739583
Tunisia,doubao-1-5-pro-32k-250115,ar,2.0,2.0,1.0,3.0,8.0,2.0,2.0,1.0,1.0,0.0,-2.3191181921423762,-1.8181084621297805
Tunisia,doubao-1-5-pro-32k-250115,en,2.0,2.0,1.0,2.0,9.0,1.0,2.0,1.0,1.0,-1.0,-1.8407395471806254,-1.9043189030354457
Yemen,doubao-1-5-pro-32k-250115,ar,3.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,0.0,-4.19224395946056,-1.3638687463278483
Yemen,doubao-1-5-pro-32k-250115,en,2.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,-2.0,-3.047488661526052,-2.4409078251192877
Algeria,gemini-2.5-flash,ar,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Algeria,gemini-2.5-flash,en,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Egypt,gemini-2.5-flash,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Egypt,gemini-2.5-flash,en,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Iraq,gemini-2.5-flash,ar,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-3.3706722230073525,-1.1135931166660251
Iraq,gemini-2.5-flash,en,2.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,-2.0,-3.047488661526052,-2.4409078251192877
Jordan,gemini-2.5-flash,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Jordan,gemini-2.5-flash,en,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Kuwait,gemini-2.5-flash,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Kuwait,gemini-2.5-flash,en,1.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,-2.0,-1.867710195902701,-3.5752715720739583
Lebanon,gemini-2.5-flash,ar,3.0,2.0,3.0,2.0,9.0,1.0,2.0,2.0,1.0,-2.0,-3.5132410667529426,1.9692796595677218
Lebanon,gemini-2.5-flash,en,3.0,2.0,1.0,2.0,10.0,1.0,1.0,4.0,1.0,-2.0,-4.652169883833114,2.536099947315448
Libya,gemini-2.5-flash,ar,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-3.3706722230073525,-1.1135931166660251
Libya,gemini-2.5-flash,en,2.0,2.0,1.0,2.0,10.0,1.0,1.0,2.0,1.0,-2.0,-2.6180596443259216,-1.0313925089602043
