country,model_name,language,A008,A165,E018,E025,F063,F118,F120,G006,Y002,Y003,PC1,PC2
Colombia,deepseek-chat,en,2.0,2.0,1.0,2.0,9.0,7.0,3.0,1.0,1.0,-2.0,-0.21428146358633937,-1.0980728606693917
Colombia,deepseek-chat,es,2.0,2.0,1.0,2.0,8.0,7.0,4.0,2.0,1.0,-1.0,-0.29129314032488407,0.46212945457634913
Ecuador,deepseek-chat,en,2.0,2.0,1.0,2.0,8.0,5.0,3.0,1.0,1.0,-1.0,-0.5526502257270245,-1.1245288083094682
Ecuador,deepseek-chat,es,2.0,2.0,1.0,2.0,8.0,5.0,4.0,2.0,1.0,0.0,-0.7515049040277856,0.2297222204651777
Egypt,deepseek-chat,ar,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Egypt,deepseek-chat,en,2.0,2.0,1.0,2.0,9.0,1.0,3.0,1.0,1.0,-2.0,-1.6474515062283088,-1.7093075607580606
France,deepseek-chat,en,2.0,2.0,3.0,1.0,4.0,8.0,8.0,2.0,2.0,2.0,3.118901725444029,3.6017128843095874
Germany,deepseek-chat,de,2.0,2.0,2.0,2.0,5.0,8.0,6.0,2.0,1.0,2.0,0.7632087476808556,2.1755708416043027
Germany,deepseek-chat,en,2.0,2.0,3.0,1.0,3.0,8.0,7.0,2.0,3.0,2.0,4.009623716256251,3.5888528774757735
Ghana,deepseek-chat,en-native,2.0,2.0,1.0,2.0,10.0,3.0,3.0,1.0,1.0,-1.0,-1.2740595763987805,-1.740176281281214
Guatemala,deepseek-chat,en,2.0,2.0,1.0,2.0,9.0,4.0,2.0,1.0,1.0,-1.0,-1.124154525859641,-1.5987015529911113
Guatemala,deepseek-chat,es,2.0,2.0,1.0,2.0,8.0,5.0,3.0,2.0,1.0,-2.0,-0.9973276965133667,0.12069788043263792
Haiti,deepseek-chat,en,2.0,2.0,1.0,2.0,10.0,3.0,3.0,1.0,1.0,-1.0,-1.2740595763987805,-1.740176281281214
Hong Kong,deepseek-chat,en-native,2.0,2.0,1.0,2.0,5.0,6.0,5.0,2.0,1.0,1.0,0.08119698307368545,1.0871352040073952
Hong Kong,deepseek-chat,zh-cn,2.0,2.0,2.0,2.0,5.0,7.0,6.0,2.0,1.0,2.0,0.524347073907194,2.0736983915895246
Hong Kong,deepseek-chat,zh-hk,2.0,2.0,1.0,2.0,5.0,7.0,6.0,3.0,1.0,2.0,0.1212039785465861,2.5432586827968193
Iraq,deepseek-chat,ar,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-3.3706722230073525,-1.1135931166660251
Iraq,deepseek-chat,en,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Ireland,deepseek-chat,en-native,2.0,2.0,3.0,1.0,5.0,8.0,7.0,1.0,3.0,2.0,4.193103600073739,1.9603859498730931
Italy,deepseek-chat,en,2.0,2.0,3.0,2.0,7.0,7.0,5.0,1.0,1.0,0.0,0.4379813736577876,1.0832111874074994
Italy,deepseek-chat,it,2.0,2.0,1.0,2.0,6.0,8.0,5.0,2.0,1.0,1.0,0.43707732905879176,1.0849288175658567
Japan,deepseek-chat,en,2.0,2.0,1.0,2.0,3.0,5.0,5.0,1.0,1.0,1.0,0.5131871993663776,0.18060097227431562
Japan,deepseek-chat,ja,2.0,2.0,1.0,2.0,5.0,7.0,5.0,1.0,1.0,1.0,0.7472245437892675,-0.02755670063831768
Jordan,deepseek-chat,ar,2.0,2.0,1.0,2.0,10.0,2.0,1.0,1.0,1.0,-2.0,-1.9520320836103395,-2.1460844136059167
Jordan,deepseek-chat,en,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Kazakhstan,deepseek-chat,en,2.0,2.0,1.0,2.0,8.0,3.0,3.0,1.0,1.0,1.0,-0.9953504055855041,-1.3855983765022546
Kazakhstan,deepseek-chat,ru,2.0,2.0,1.0,2.0,8.0,3.0,3.0,1.0,1.0,-1.0,-1.0303735732743475,-1.3282737083390244
Kenya,deepseek-chat,en-native,2.0,2.0,1.0,2.0,9.0,2.0,3.0,1.0,1.0,-1.0,-1.3910782486102256,-1.6360974448248975
Korea,deepseek-chat,en,2.0,2.0,1.0,2.0,5.0,4.0,4.0,1.0,1.0,1.0,-0.18016010232845514,-0.4995230588784222
Korea,deepseek-chat,ko,2.0,2.0,1.0,2.0,6.0,5.0,3.0,1.0,1.0,0.0,-0.29145263875816974,-0.7412885694488938
Kuwait,deepseek-chat,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Kuwait,deepseek-chat,en,1.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-0.8003156669639121,-3.215971602379596
Kyrgyzstan,deepseek-chat,en,2.0,2.0,1.0,2.0,8.0,2.0,3.0,1.0,1.0,-1.0,-1.2692352470480088,-1.4301461583538027
Kyrgyzstan,deepseek-chat,ru,2.0,2.0,1.0,2.0,8.0,3.0,4.0,1.0,1.0,-1.0,-0.8195739484776096,-1.1619247001432544
Lebanon,deepseek-chat,ar,3.0,2.0,1.0,2.0,10.0,3.0,3.0,1.0,1.0,-2.0,-2.4713496258665533,-0.5771502002449284
Lebanon,deepseek-chat,en,2.0,2.0,1.0,2.0,8.0,3.0,3.0,1.0,1.0,-2.0,-1.047885157118769,-1.2996113742574096
Libya,deepseek-chat,ar,3.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,-2.0,-4.2272671271494024,-1.3065440781646178
Libya,deepseek-chat,en,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Luxembourg,deepseek-chat,de,1.0,1.0,1.0,2.0,6.0,10.0,7.0,1.0,2.0,2.0,5.312496366240034,-0.7681146791179961
Luxembourg,deepseek-chat,en,1.0,2.0,2.0,2.0,5.0,9.0,7.0,1.0,2.0,2.0,3.7994930128632696,0.04040191309055037
Macao,deepseek-chat,en,2.0,2.0,1.0,2.0,5.0,6.0,5.0,1.0,1.0,1.0,0.5083628700156059,-0.12942915065309582
Macao,deepseek-chat,pt,2.0,2.0,1.0,2.0,7.0,7.0,7.0,2.0,2.0,0.0,1.460138933518711,1.0860031464440005
Macao,deepseek-chat,zh-cn,2.0,2.0,1.0,2.0,6.0,7.0,5.0,1.0,1.0,2.0,0.6428931260714725,-0.26217032119102757
Malaysia,deepseek-chat,en-native,2.0,2.0,1.0,2.0,9.0,3.0,3.0,1.0,1.0,-2.0,-1.1697281586809858,-1.5055626607285044
Mali,deepseek-chat,en,2.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,1.0,-1.0,-1.6018778734069636,-1.8024464530206674
Malta,deepseek-chat,en-native,1.0,2.0,1.0,2.0,8.0,6.0,3.0,1.0,1.0,-1.0,0.8659899136699882,-2.1570201052493605
Mexico,deepseek-chat,en,2.0,2.0,1.0,2.0,8.0,6.0,5.0,1.0,1.0,-1.0,0.10781069764011308,-0.6899583419031501
Mexico,deepseek-chat,es,2.0,2.0,1.0,2.0,8.0,8.0,4.0,1.0,1.0,1.0,0.4097575880795412,-0.709887118232594
Morocco,deepseek-chat,ar,2.0,2.0,1.0,2.0,10.0,2.0,3.0,1.0,1.0,-2.0,-1.5304328340168638,-1.813386397214377
Morocco,deepseek-chat,en,2.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,1.0,-2.0,-1.6193894572513852,-1.7737841189390524
New Zealand,deepseek-chat,en-native,1.0,2.0,3.0,2.0,3.0,9.0,7.0,1.0,3.0,2.0,4.998834838453134,1.1468462643767976
Nicaragua,deepseek-chat,en,2.0,2.0,1.0,2.0,9.0,4.0,2.0,1.0,1.0,-1.0,-1.124154525859641,-1.5987015529911113
Nicaragua,deepseek-chat,es,2.0,2.0,1.0,2.0,8.0,3.0,3.0,1.0,1.0,-1.0,-1.0303735732743475,-1.3282737083390244
Nigeria,deepseek-chat,en-native,2.0,2.0,1.0,2.0,10.0,2.0,3.0,1.0,1.0,-1.0,-1.5129212501724423,-1.8420487312959923
Pakistan,deepseek-chat,en-native,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Palestine,deepseek-chat,ar,3.0,2.0,3.0,1.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.562122902027926,0.573365971738959
Palestine,deepseek-chat,en,3.0,2.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,-2.0,-2.3032776940685635,-0.7542931469716619
Peru,deepseek-chat,en,2.0,2.0,1.0,2.0,8.0,5.0,3.0,1.0,1.0,-1.0,-0.5526502257270245,-1.1245288083094682
Peru,deepseek-chat,es,2.0,2.0,1.0,2.0,8.0,6.0,3.0,1.0,1.0,0.0,-0.29627696810894144,-1.0513186923763052
Philippines,deepseek-chat,en-native,1.0,2.0,1.0,2.0,9.0,5.0,2.0,1.0,1.0,-1.0,0.29448561353737196,-2.6311928499310033
Portugal,deepseek-chat,en,2.0,2.0,3.0,2.0,7.0,8.0,5.0,1.0,1.0,1.0,0.6943546312758705,1.1564213033406625
Portugal,deepseek-chat,pt,2.0,2.0,1.0,2.0,7.0,8.0,7.0,2.0,2.0,2.0,1.7340237749812157,1.1305509282955484
Puerto Rico,deepseek-chat,en-native,1.0,2.0,2.0,2.0,9.0,7.0,5.0,1.0,1.0,-2.0,1.3630734600491752,-1.1527345277793264
Puerto Rico,deepseek-chat,es,2.0,2.0,1.0,2.0,8.0,8.0,5.0,1.0,2.0,-1.0,1.5652126592341786,-0.5386757269827323
Qatar,deepseek-chat,ar,1.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,-2.0,-1.867710195902701,-3.5752715720739583
Qatar,deepseek-chat,en,1.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-1.0111152917606496,-3.3823206105753654
Russia,deepseek-chat,en,2.0,2.0,1.0,2.0,6.0,3.0,5.0,1.0,1.0,2.0,-0.31255356902317366,-0.6696601212501402
Russia,deepseek-chat,ru,2.0,2.0,1.0,2.0,6.0,3.0,4.0,1.0,1.0,1.0,-0.5408647776643334,-0.8073467953642951
Rwanda,deepseek-chat,en-native,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-1.0,-1.9625825487428417,-2.11027018950654
Singapore,deepseek-chat,en-native,2.0,2.0,1.0,2.0,6.0,5.0,5.0,1.0,1.0,1.0,0.14765819467972785,-0.43725288713896876
Singapore,deepseek-chat,zh-cn,2.0,2.0,1.0,2.0,5.0,7.0,6.0,1.0,1.0,2.0,0.9755357524304271,0.11012997347583726
South Africa,deepseek-chat,en-native,2.0,2.0,1.0,2.0,8.0,6.0,5.0,2.0,1.0,1.0,-0.28433202161296456,0.4692813445941108
Spain,deepseek-chat,en,2.0,2.0,2.0,2.0,6.0,8.0,6.0,1.0,1.0,2.0,1.0685316330605594,0.7530552004727166
Spain,deepseek-chat,es,2.0,2.0,3.0,2.0,5.0,8.0,7.0,2.0,2.0,1.0,1.9121526110986018,3.065123962225745
Switzerland,deepseek-chat,de,2.0,2.0,1.0,2.0,3.0,8.0,6.0,2.0,1.0,2.0,1.030917542386601,1.8404693510932963
Switzerland,deepseek-chat,en,1.0,1.0,2.0,1.0,4.0,8.0,6.0,1.0,2.0,2.0,5.700231509581144,0.2136490105506565
Switzerland,deepseek-chat,it,2.0,2.0,1.0,2.0,5.0,10.0,5.0,2.0,2.0,2.0,2.033833876059496,1.4135003848757541
Taiwan,deepseek-chat,en,2.0,2.0,1.0,2.0,5.0,7.0,5.0,1.0,1.0,1.0,0.7472245437892675,-0.02755670063831768
Taiwan,deepseek-chat,zh-tw,2.0,2.0,1.0,2.0,5.0,8.0,6.0,2.0,2.0,2.0,1.7669101533089107,1.3761044930419677
Trinidad and Tobago,deepseek-chat,en-native,1.0,2.0,1.0,2.0,8.0,5.0,4.0,1.0,1.0,-1.0,0.8379278646930648,-2.092543547068369
Tunisia,deepseek-chat,ar,2.0,2.0,1.0,2.0,10.0,3.0,3.0,1.0,1.0,-2.0,-1.291571160243202,-1.7115139471995988
Tunisia,deepseek-chat,en,2.0,2.0,1.0,2.0,9.0,2.0,3.0,1.0,1.0,-2.0,-1.408589832454647,-1.6074351107432823
United Kingdom,deepseek-chat,en-native,2.0,2.0,2.0,2.0,4.0,8.0,7.0,2.0,1.0,2.0,1.09585137403981,2.547871136271168
United States,deepseek-chat,en-native,2.0,2.0,3.0,2.0,5.0,8.0,7.0,1.0,3.0,2.0,3.336508695931687,1.7674349883745
Uruguay,deepseek-chat,en,1.0,2.0,3.0,2.0,7.0,8.0,6.0,1.0,2.0,1.0,3.0646113357427027,0.135944279472623
Uruguay,deepseek-chat,es,2.0,2.0,2.0,2.0,5.0,8.0,6.0,1.0,1.0,1.0,1.1728630507783544,0.9876688210254263
Venezuela,deepseek-chat,en,3.0,2.0,1.0,2.0,8.0,5.0,3.0,2.0,1.0,-1.0,-2.159594578292296,1.226399293305693
Venezuela,deepseek-chat,es,3.0,2.0,1.0,2.0,8.0,3.0,3.0,2.0,1.0,0.0,-2.6198063419951976,0.9939920591945217
Yemen,deepseek-chat,ar,3.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,-2.0,-4.2272671271494024,-1.3065440781646178
Yemen,deepseek-chat,en,2.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,-2.0,-3.047488661526052,-2.4409078251192877
Zambia,deepseek-chat,en-native,2.0,2.0,1.0,2.0,9.0,2.0,3.0,1.0,1.0,-1.0,-1.3910782486102256,-1.6360974448248975
Zimbabwe,deepseek-chat,en-native,2.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,1.0,-1.0,-1.6018778734069636,-1.8024464530206674
Algeria,deepseek-chat-v3.1,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Algeria,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Argentina,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,7.0,8.0,6.0,1.0,1.0,1.0,0.9531998392352337,-0.1712378153699591
Argentina,deepseek-chat-v3.1,es,2.0,2.0,3.0,2.0,7.0,10.0,7.0,2.0,1.0,1.0,1.1665113414747497,2.90942857442225
Australia,deepseek-chat-v3.1,en-native,1.0,2.0,3.0,2.0,4.0,10.0,7.0,1.0,3.0,2.0,5.115853510664578,1.0427674279204808
Austria,deepseek-chat-v3.1,de,2.0,2.0,1.0,2.0,3.0,10.0,7.0,2.0,1.0,2.0,1.7194405147306626,2.2105632593186226
Austria,deepseek-chat-v3.1,en,2.0,2.0,3.0,2.0,4.0,10.0,7.0,2.0,2.0,2.0,2.529230544052563,3.4461578146447813
Belarus,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,7.0,3.0,4.0,1.0,1.0,-1.0,-0.6977309469153928,-0.9559734136721596
Belarus,deepseek-chat-v3.1,ru,2.0,2.0,1.0,2.0,7.0,1.0,3.0,1.0,1.0,1.0,-1.3512307515706108,-1.3833919900607163
Belgium,deepseek-chat-v3.1,de,2.0,2.0,1.0,2.0,3.0,10.0,7.0,2.0,2.0,2.0,2.6991191287774052,2.158100974209484
Belgium,deepseek-chat-v3.1,en,2.0,2.0,3.0,1.0,4.0,10.0,7.0,2.0,3.0,2.0,4.365504062241358,3.5866464910342355
Bolivia,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,9.0,7.0,3.0,1.0,1.0,-1.0,-0.19676987974191806,-1.1267351947510067
Bolivia,deepseek-chat-v3.1,es,2.0,2.0,1.0,2.0,9.0,8.0,2.0,1.0,1.0,1.0,-0.13368466307615134,-1.248536421095229
Brazil,deepseek-chat-v3.1,en,1.0,2.0,2.0,2.0,8.0,10.0,5.0,1.0,1.0,1.0,2.254036234465641,-0.7271528935087423
Brazil,deepseek-chat-v3.1,pt,2.0,2.0,3.0,2.0,9.0,10.0,5.0,2.0,2.0,2.0,1.4984162866480046,2.0837033658977666
Burkina Faso,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,1.0,-1.0,-1.6018778734069636,-1.8024464530206674
Canada,deepseek-chat-v3.1,en-native,2.0,1.0,3.0,1.0,4.0,10.0,7.0,1.0,3.0,2.0,6.164631838767285,2.4126484440747107
Chile,deepseek-chat-v3.1,en,2.0,2.0,1.0,1.0,7.0,8.0,3.0,1.0,1.0,1.0,1.1773958689870707,-0.4773338784586766
Chile,deepseek-chat-v3.1,es,2.0,2.0,1.0,2.0,7.0,10.0,3.0,2.0,1.0,1.0,0.3713584254504224,0.7500244147327783
China,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,3.0,5.0,6.0,1.0,1.0,1.0,0.7239868241631157,0.34694998047008574
China,deepseek-chat-v3.1,zh-cn,2.0,2.0,1.0,3.0,3.0,3.0,7.0,1.0,1.0,1.0,-0.39953180272952027,0.11660312713770689
Colombia,deepseek-chat-v3.1,en,1.0,2.0,1.0,2.0,9.0,8.0,3.0,1.0,1.0,-1.0,1.2218702596550943,-2.159226491690899
Colombia,deepseek-chat-v3.1,es,2.0,2.0,1.0,2.0,8.0,8.0,3.0,1.0,1.0,1.0,0.1989579632828032,-0.876236126428364
Ecuador,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,9.0,7.0,3.0,1.0,1.0,-1.0,-0.19676987974191806,-1.1267351947510067
Ecuador,deepseek-chat-v3.1,es,2.0,2.0,1.0,2.0,9.0,7.0,3.0,2.0,1.0,1.0,-0.5889125989949955,0.032504491746254076
Egypt,deepseek-chat-v3.1,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Egypt,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
France,deepseek-chat-v3.1,en,2.0,2.0,3.0,2.0,3.0,10.0,8.0,2.0,2.0,2.0,2.8618731704115175,3.8184581093116448
Germany,deepseek-chat-v3.1,de,2.0,2.0,3.0,2.0,3.0,10.0,7.0,2.0,1.0,2.0,1.6713949315680376,3.7045713862250143
Germany,deepseek-chat-v3.1,en,2.0,2.0,3.0,1.0,3.0,10.0,7.0,2.0,2.0,2.0,3.507668449756831,3.8450600626144684
Ghana,deepseek-chat-v3.1,en-native,1.0,2.0,1.0,2.0,10.0,2.0,3.0,1.0,1.0,-1.0,-0.33314278454909085,-2.976412478250663
Guatemala,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,9.0,5.0,2.0,1.0,1.0,-1.0,-0.885292852085979,-1.4968291029763332
Guatemala,deepseek-chat-v3.1,es,2.0,2.0,1.0,2.0,9.0,10.0,1.0,1.0,1.0,-2.0,0.0807043081411693,-1.125153527016597
Haiti,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,10.0,3.0,3.0,1.0,1.0,-1.0,-1.2740595763987805,-1.740176281281214
Hong Kong,deepseek-chat-v3.1,en-native,2.0,2.0,1.0,2.0,3.0,7.0,6.0,2.0,1.0,1.0,0.7745442847685182,1.767259235160133
Hong Kong,deepseek-chat-v3.1,zh-cn,2.0,2.0,1.0,2.0,5.0,7.0,7.0,2.0,2.0,2.0,1.738848104331987,1.4405810512229598
Hong Kong,deepseek-chat-v3.1,zh-hk,2.0,2.0,1.0,2.0,5.0,8.0,6.0,2.0,1.0,1.0,0.7697199554177462,1.4572291122327214
Iraq,deepseek-chat-v3.1,ar,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-3.3706722230073525,-1.1135931166660251
Iraq,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Ireland,deepseek-chat-v3.1,en-native,1.0,1.0,3.0,2.0,6.0,10.0,7.0,1.0,3.0,2.0,6.244129397124152,0.6734311626792575
Italy,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,7.0,8.0,5.0,1.0,1.0,0.0,0.7248886305940742,-0.308924489484114
Italy,deepseek-chat-v3.1,it,2.0,2.0,1.0,1.0,7.0,10.0,5.0,2.0,1.0,1.0,1.6495525791859493,1.2756733926229111
Japan,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,3.0,7.0,5.0,1.0,1.0,1.0,0.9909105469137008,0.38434587230387196
Japan,deepseek-chat-v3.1,ja,2.0,2.0,1.0,2.0,5.0,4.0,5.0,1.0,1.0,1.0,0.030639522468282943,-0.3331740506826521
Jordan,deepseek-chat-v3.1,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Jordan,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Kazakhstan,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,7.0,3.0,4.0,1.0,1.0,1.0,-0.6627077792265498,-1.0132980818353898
Kazakhstan,deepseek-chat-v3.1,ru,2.0,2.0,1.0,2.0,7.0,1.0,3.0,1.0,1.0,1.0,-1.3512307515706108,-1.3833919900607163
Kenya,deepseek-chat-v3.1,en-native,2.0,2.0,1.0,2.0,10.0,2.0,3.0,1.0,1.0,-1.0,-1.5129212501724423,-1.8420487312959923
Korea,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,5.0,3.0,4.0,1.0,1.0,1.0,-0.41902177610211655,-0.6013955088932003
Korea,deepseek-chat-v3.1,ko,2.0,2.0,1.0,2.0,7.0,3.0,3.0,1.0,2.0,0.0,0.0886596261790335,-1.2034470410586835
Kuwait,deepseek-chat-v3.1,ar,1.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-1.0111152917606496,-3.3823206105753654
Kuwait,deepseek-chat-v3.1,en,1.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-0.8003156669639121,-3.215971602379596
Kyrgyzstan,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,8.0,2.0,3.0,1.0,1.0,-1.0,-1.2692352470480088,-1.4301461583538027
Kyrgyzstan,deepseek-chat-v3.1,ru,2.0,2.0,1.0,2.0,8.0,2.0,3.0,1.0,1.0,1.0,-1.2342120793591658,-1.4874708265170329
Lebanon,deepseek-chat-v3.1,ar,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-3.3706722230073525,-1.1135931166660251
Lebanon,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,10.0,2.0,3.0,1.0,1.0,-2.0,-1.5304328340168638,-1.813386397214377
Libya,deepseek-chat-v3.1,ar,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-3.3706722230073525,-1.1135931166660251
Libya,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Luxembourg,deepseek-chat-v3.1,de,2.0,2.0,1.0,2.0,3.0,10.0,7.0,2.0,1.0,2.0,1.7194405147306626,2.2105632593186226
Luxembourg,deepseek-chat-v3.1,en,1.0,1.0,3.0,2.0,4.0,10.0,7.0,2.0,3.0,2.0,6.0606495133066645,2.3018980902819384
Macao,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,6.0,7.0,5.0,1.0,1.0,1.0,0.6253815422270509,-0.23350798710941245
Macao,deepseek-chat-v3.1,pt,2.0,2.0,1.0,2.0,7.0,8.0,6.0,2.0,2.0,1.0,1.5057125663400561,0.9928642541813935
Macao,deepseek-chat-v3.1,zh-cn,2.0,2.0,1.0,2.0,7.0,8.0,7.0,2.0,1.0,2.0,0.7543451609344729,1.183013213404687
Malaysia,deepseek-chat-v3.1,en-native,2.0,2.0,1.0,2.0,9.0,3.0,3.0,1.0,1.0,-2.0,-1.1697281586809858,-1.5055626607285044
Mali,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-1.0,-1.9625825487428417,-2.11027018950654
Malta,deepseek-chat-v3.1,en-native,1.0,2.0,1.0,2.0,9.0,8.0,3.0,1.0,1.0,-1.0,1.2218702596550943,-2.159226491690899
Mexico,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,9.0,8.0,3.0,1.0,1.0,-1.0,0.0420917940317434,-1.0248627447362286
Mexico,deepseek-chat-v3.1,es,2.0,2.0,1.0,2.0,8.0,10.0,3.0,1.0,1.0,1.0,0.6766813108301264,-0.6724912263988078
Morocco,deepseek-chat-v3.1,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Morocco,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
New Zealand,deepseek-chat-v3.1,en-native,1.0,1.0,3.0,2.0,4.0,10.0,7.0,1.0,3.0,2.0,6.487815400248586,1.0853337356214476
Nicaragua,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,9.0,5.0,2.0,1.0,1.0,-1.0,-0.885292852085979,-1.4968291029763332
Nicaragua,deepseek-chat-v3.1,es,2.0,2.0,1.0,2.0,9.0,3.0,2.0,1.0,1.0,-1.0,-1.3630161996333023,-1.7005740030058893
Nigeria,deepseek-chat-v3.1,en-native,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-1.0,-1.9625825487428417,-2.11027018950654
Pakistan,deepseek-chat-v3.1,en-native,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,-2.0,-1.9800941325872636,-2.081607855424925
Palestine,deepseek-chat-v3.1,ar,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-1.0,-3.3531606391629314,-1.1422554507476403
Palestine,deepseek-chat-v3.1,en,3.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,2.0,-2.0,-2.1801939841638722,-0.999706393579394
Peru,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,9.0,7.0,3.0,1.0,1.0,0.0,-0.17925829589749642,-1.155397528832622
Peru,deepseek-chat-v3.1,es,2.0,2.0,1.0,2.0,8.0,8.0,3.0,1.0,1.0,1.0,0.1989579632828032,-0.876236126428364
Philippines,deepseek-chat-v3.1,en-native,2.0,2.0,1.0,2.0,10.0,7.0,1.0,1.0,1.0,-2.0,-0.757723714742032,-1.6367221635320266
Portugal,deepseek-chat-v3.1,en,2.0,2.0,1.0,2.0,7.0,9.0,6.0,1.0,1.0,1.0,1.1920615130088952,-0.06936536535518098
Portugal,deepseek-chat-v3.1,pt,2.0,2.0,3.0,2.0,7.0,10.0,7.0,2.0,2.0,2.0,2.1637015393659134,2.8283039552314966
Puerto Rico,deepseek-chat-v3.1,en-native,1.0,2.0,1.0,2.0,9.0,8.0,5.0,1.0,2.0,-1.0,2.623148123295313,-1.8789907604084977
Puerto Rico,deepseek-chat-v3.1,es,2.0,2.0,1.0,2.0,9.0,10.0,3.0,1.0,2.0,-1.0,1.4994937556258097,-0.8735801298158107
Qatar,deepseek-chat-v3.1,ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-2.1908937573840013,-2.2479568636206952
Qatar,deepseek-chat-v3.1,en,1.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,-2.0,-1.0111152917606496,-3.3823206105753654
